routeId;loc;tripId;seed;avgSpeed;timeloss;route_length;elevation_up;elevation_down;trafficScale;numOfStops;emission
2100;nap_gellert_e;C76796152.0;1;6.764531249999999;12.67;433.36;6.639999999999986;-3.1699999999999875;0.7;2;127.44922766109572
2100;nap_gellert_e;C76796162.0;1;6.872063492063493;11.7;433.36;6.629999999999996;-3.1599999999999966;0.7;2;129.23705114204054
2100;nap_gellert_e;C76796250.0;1;6.871428571428571;11.7;433.36;6.72999999999999;-3.259999999999991;0.7;2;130.001523722576
1050;nap_gellert_e;C76796483.0;1;2.871379310344828;71.22;333.14;2.5299999999999727;-6.149999999999977;0.7;2;183.3538299338317
2100;nap_gellert_e;C76796560.0;1;6.7646875;12.74;433.36;6.6200000000000045;-3.1500000000000057;0.7;2;134.86699561107997
1050;nap_gellert_e;C7679698.0;1;3.9901538461538464;26.06;262.1;0.4399999999999977;-9.900000000000006;0.7;2;165.6684012708463
1020;nap_gellert_e;C77264550.0;1;7.182586206896552;140.28;5418.96;142.35999999999996;-131.41999999999996;0.7;9;1381.570278259236
1780;nap_gellert_e;C774343724.0;1;4.422610619469027;32.9;999.52;23.71999999999997;-1.799999999999983;0.7;3;451.97160063697976
1120;nap_gellert_e;C77569239.0;1;2.519033409017191;2325.24;7794.02;293.33000000000004;-103.73000000000005;0.7;14;4125.192100250637
1100;nap_gellert_e;C77569330.0;1;0.787484988452656;3980.73;3414.98;37.189999999999856;-115.96999999999986;0.7;10;3342.574919942233
1100;nap_gellert_e;C77569429.0;1;7.265754276827372;172.35;4677.59;184.85;-57.48999999999998;0.7;8;1907.1995471928487
1120;nap_gellert_e;C775695670.0;1;2.4427107489815105;2408.76;7809.8;79.01;-277.51;0.7;12;4111.7409286706215
1120;nap_gellert_e;C775695826.0;1;1.7397664169237548;3750.56;7886.78;79.78999999999999;-278.67;0.7;12;4859.582939463378
9080;nap_gellert_e;C77632401.0;1;3.280175746924429;385.51;1866.71;17.650000000000006;-19.52;0.7;4;762.627470523859
1390;nap_gellert_e;C7769412.0;1;1.56978886756238;883.57;1636.63;5.820000000000007;-34.400000000000006;0.7;4;1064.0181434266224
1390;nap_gellert_e;C776944930.0;1;1.690868263473054;1416.7;2849.63;45.510000000000005;-14.860000000000014;0.7;6;1626.618693656534
1390;nap_gellert_e;C77694756.0;1;1.5979744346116027;860.35;1630.2;5.829999999999984;-34.03999999999999;0.7;4;964.1575454091468
1390;nap_gellert_e;C77694886.0;1;1.0326444444444445;2450.73;2800.31;45.23000000000003;-14.570000000000022;0.7;6;2091.211870001704
70;nap_gellert_e;C78013111.0;1;3.626758544652701;537.69;3294.68;89.2;-89.86999999999999;0.7;7;1255.165678061719
70;nap_gellert_e;C78013441.0;1;4.709914163090129;329.5;3294.68;89.91999999999997;-90.09999999999997;0.7;7;1150.5839104602471
70;nap_gellert_e;C78013666.0;1;4.71428981348637;327.98;3294.68;89.56000000000002;-90.47;0.7;7;1156.531151262594
70;nap_gellert_e;C78013841.0;1;4.517554945054945;358.73;3294.68;88.99999999999997;-89.76999999999997;0.7;7;1133.2857459308082
50;nap_gellert_e;C7810534.0;1;8.375675675675675;35.09;2169.76;79.77999999999997;-63.68999999999997;0.7;2;544.997274713356
50;nap_gellert_e;C7810599.0;1;5.583768115942029;59.88;777.2;29.47000000000004;-35.88000000000004;0.7;2;289.1620859955342
1500;nap_gellert_e;C78144121.0;1;5.34438202247191;158.65;1904.06;22.17;-16.86999999999999;0.7;6;728.8870141120531
1500;nap_gellert_e;C78144153.0;1;4.118704268292682;269.07;2706.75;20.34999999999997;-29.27999999999996;0.7;7;1138.5181215216378
1500;nap_gellert_e;C78144166.0;1;4.911963824289406;189.79;1904.06;21.970000000000027;-16.740000000000023;0.7;6;774.9309890566798
1500;nap_gellert_e;C78144341.0;1;4.869079283887468;193.56;1904.06;22.05000000000001;-16.710000000000008;0.7;6;772.4186348430335
1502;nap_gellert_e;C78144378.0;1;4.555740740740741;325.33;2706.75;20.25999999999995;-29.219999999999946;0.7;7;1099.9143282426292
85;nap_gellert_e;C782451142.0;1;2.143137359700695;2533.19;8032.14;172.95999999999992;-218.85;0.7;19;3653.983907544617
85;nap_gellert_e;C78245214.0;1;1.0550117096018734;7067.54;8583.91;238.52;-192.48;0.7;18;5995.043296397321
85;nap_gellert_e;C7824549.0;1;3.359886541471048;1600.99;8630.53;239.2399999999999;-193.1999999999999;0.7;18;3152.747595148943
85;nap_gellert_e;C78245662.0;1;2.134272176888655;2578.76;8110.8;173.4099999999999;-219.13;0.7;19;3666.394132489004
85;nap_gellert_e;C78245897.0;1;2.6576038551013625;1735.34;8034.03;172.10999999999996;-218.76;0.7;19;3350.470531162633
1335;nap_gellert_e;C782571889.0;1;5.41662027833002;144.77;2724.58;87.91999999999999;-84.50999999999999;0.7;4;757.1784353441525
1335;nap_gellert_e;C782574914.0;1;5.342411764705882;112.7;2724.58;88.71000000000002;-85.30000000000003;0.7;4;772.740725419932
330;nap_gellert_e;C622151503.0;2;4.751333333333334;48.46;570.18;0.9500000000000028;-9.100000000000009;0.7;3;270.83129926109257
330;nap_gellert_e;C622152254.0;2;5.4914516129032265;65.97;1023.22;18.779999999999973;-10.779999999999973;0.7;3;372.99311450646667
330;nap_gellert_e;C622155141.0;2;5.211785714285714;75.99;1023.22;18.82;-10.819999999999991;0.7;3;381.0903108729548
